Name,Slug,Summary,Category,Tags,Latest Version,Status,Source URL,Source Label
System Prompt Template,system-prompt-template,"A flexible template for creating effective system prompts for AI assistants",prompting,"templates, system, beginner",1,published,,
Research Framework,research-framework,"Framework for conducting thorough research and documentation",research,"methodology, structure, framework",1,published,,
Content Strategy Guide,content-strategy-guide,"Comprehensive guide to developing and executing content strategies",writing,"strategy, planning, framework",1,draft,,
Debugging Best Practices,debugging-best-practices,"Essential techniques and patterns for effective software debugging",development,"debugging, troubleshooting, best-practices",1,published,,
Meeting Notes Template,meeting-notes-template,"Standardized template for capturing and organizing meeting information",productivity,"templates, organization, meetings",1,published,,
API Design Principles,api-design-principles,"Core principles for designing clean, scalable REST APIs",development,"api, design, architecture, best-practices",1,published,,
Decision Making Framework,decision-making-framework,"Structured approach to making complex business and technical decisions",methodology,"decision-making, framework, strategy",1,draft,,
Knowledge Management System,knowledge-management-system,"Best practices for building personal and team knowledge bases",productivity,"organization, knowledge, system, best-practices",1,published,,
Testing Strategy Template,testing-strategy-template,"Template for creating comprehensive testing strategies",development,"testing, qa, templates, framework",1,published,,
Customer Research Methods,customer-research-methods,"Methods for conducting effective customer research and interviews",research,"research, customer, methodology, best-practices",1,draft,,
